Fecha,Departamento,Municipio,Día,Barrio,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Sexo
05/17/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,CLASS E-8,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/17/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. LA COLINA CAMPESTRE I SECTOR E-11,PARQUEADERO,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
05/17/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,LA GIRALDA E-9,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
05/17/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,CHAPINERO CENTRAL E-2,VIAS PUBLICAS,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
05/17/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. MAZUREN I SECTOR E-11,PUENTE PEATONAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/18/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,URB. TOBERIN E-1,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
05/18/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,SAN DIEGO E-3,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/18/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,GALERIAS E-13,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
05/18/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,SAN PEDRO DE TIBABUYES E-11,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,BICICLETA,MASCULINO
05/19/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,SAN FERNANDO E-12,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/19/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,LA FELICIDAD E-9,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,FEMENINO
05/19/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,ALCAPARROS I-II E-11,CASAS DE HABITACION,CONTUNDENTES,A PIE,BICICLETA,FEMENINO
05/19/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,GALERIAS E-13,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,BICICLETA,MASCULINO
05/19/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,SUBA CENTRO E-11,PARQUE NACIONAL NATURAL LOS NEVADOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,BOSTON E-9,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,ESTRELLA DEL NORTE E-1,PUENTE PEATONAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,MARTIRES E-14,"BARES, CANTINAS Y SIMILARES",ESCOPOLAMINA,A PIE,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,SANTA ANA E-11,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,SUBA URBANO E-11,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,PATIO BONITO I E-8,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/20/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,ALMENDROS E-11,CONJUNTO RESIDENCIAL,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,PARQUE EL SALITRE E-12,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,RINCON DE LA COLINA E-11,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,PALOQUEMAO E-14,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,TINTAL    E-8,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,CHAPINERO CENTRAL E-2,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,FEMENINO
05/21/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,SANTA BARBARA E-1,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/22/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,7 DE AGOSTO E-12,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/22/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,CENTENARIO E-9,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,FEMENINO
05/23/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,VERACRUZ E-3,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/23/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,EL VERGEL E-14,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,BICICLETA,MASCULINO
05/23/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,ALMIRANTE COLON E-11,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/23/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,LA TRINIDAD E-16,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,BICICLETA,MASCULINO
05/23/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,EL TINTAL E-8,VIAS PUBLICAS,ARMA DE FUEGO,BICICLETA,BICICLETA,MASCULINO
05/24/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,CONTADOR E-1,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
05/24/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. TOBERIN E-1,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,BICICLETA,MASCULINO
05/24/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. MAZUREN I SECTOR E-11,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/24/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,ROMA  E-8,VIAS PUBLICAS,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
05/25/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,VILLAS DE GRANADA E-10,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
05/25/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,EL DORADO NORTE E-10,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
05/26/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,CIUDAD KENNEDY CENTRAL E-8,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
