"departamento","arma ","fecha","genero","población"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","3/9/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","1/6/2022","MASCULINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","4/16/2022","FEMENINO","ADULTOS"
"TOLIMA","ARMA BLANCA / CORTOPUNZANTE","4/16/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","5/20/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","1/1/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","1/6/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","1/21/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","1/23/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","2/3/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","2/9/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","3/9/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","3/31/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","5/8/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","5/14/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","5/17/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","8/1/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","8/11/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","8/20/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","8/28/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","3/21/2022","MASCULINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","3/15/2022","MASCULINO","ADULTOS"
